ID,FISH_ID,PERCENT
SHALLOW_END,FISH_B_0,100

SHALLOW_END,FISH_B_1,65
SHALLOW_END,FISH_B_2,35

SHALLOW_END,FISH_B_3,65
SHALLOW_END,FISH_B_4,35

SHALLOW_END,FISH_B_5,65
SHALLOW_END,FISH_B_6,35

SHALLOW_END,FISH_B_7,65
SHALLOW_END,FISH_B_8,35

SHALLOW_END,FISH_B_9,65
SHALLOW_END,FISH_B_10,35

SHALLOW_END,FISH_0,65
SHALLOW_END,FISH_1,35

SHALLOW_END,FISH_2,65
SHALLOW_END,FISH_3,35

SHALLOW_END,FISH_4,65
SHALLOW_END,FISH_5,35

SHALLOW_END,FISH_6,65
SHALLOW_END,FISH_7,35

SHALLOW_END,FISH_8,65
SHALLOW_END,FISH_9,35
